inst_name,task_name,job_name,task_type,status,start_time,end_time,machine_id,seq_no,total_seq_no,cpu_avg,cpu_max,mem_avg,mem_max
ins_636941309,R2_1,j_1710185,1,Terminated,689789,690328,m_2619,1,1,63,294,0.86,2.17
ins_542786951,R4_3,j_1710185,1,Running,689789,690390,m_218,1,1,,,,
ins_1121216395,J3_1_2,j_1710185,1,Terminated,689789,690389,m_928,1,1,15,265,0.89,1.58
ins_987220952,R5_4,j_1710185,1,Running,689789,690390,m_3192,1,1,,,,
ins_542787177,R4_3,j_1710185,1,Running,689789,690390,m_2968,1,1,,,,
ins_1121216319,J3_1_2,j_1710185,1,Terminated,689789,690373,m_3794,1,1,14,267,0.88,1.55
ins_987220883,R5_4,j_1710185,1,Running,689789,690390,m_3864,1,1,,,,
ins_633174441,M1,j_1710185,1,Terminated,689789,690096,m_3203,1,1,95,334,0.97,1.19
ins_1121216472,J3_1_2,j_1710185,1,Running,689789,690390,m_3527,1,1,,,,
ins_987220807,R5_4,j_1710185,1,Running,689789,690390,m_1298,1,1,,,,
ins_542787024,R4_3,j_1710185,1,Running,689789,690390,m_2821,1,1,,,,
ins_799885650,R1_2,j_1617169,1,Terminated,689766,690030,m_918,1,1,101,205,0.17,0.18
ins_1064275035,R1_2,j_1617169,1,Terminated,689764,690036,m_2483,1,1,100,228,0.17,0.18
ins_318438547,R1_2,j_1617169,1,Terminated,689765,690458,m_3859,1,1,90,231,0.17,0.19
ins_490586233,R1_2,j_1617169,1,Terminated,689765,690266,m_1432,1,1,87,180,0.18,0.19
ins_85045416,R3_2,j_1617169,1,Terminated,689765,693178,m_1539,1,1,74,101,0.18,0.19
ins_165208269,R1_2,j_1617169,1,Terminated,689765,690331,m_2359,1,1,93,204,0.17,0.18
ins_318436135,R1_2,j_1617169,1,Terminated,689765,690794,m_1709,1,1,98,189,0.18,0.19
ins_694918806,R1_2,j_1617169,1,Terminated,689764,690015,m_3649,1,1,101,219,0.17,0.18
ins_808666584,R3_2,j_1617169,1,Terminated,689765,691211,m_3069,1,1,83,144,0.18,0.19
